jurisdiccion,ambito,tipo_gestion,nivel_desempeno,porcentaje,anio_evaluacion,nivel_educativo,anio_escolar
Buenos Aires,Rural,Estatal,Por debajo del básico,63.18119724929628,2024,Secundario,5to año / 6to año
Buenos Aires,Rural,Privado,Por debajo del básico,44.11218145622193,2024,Secundario,5to año / 6to año
Buenos Aires,Urbano,Estatal,Por debajo del básico,64.27467011598628,2024,Secundario,5to año / 6to año
Buenos Aires,Urbano,Privado,Por debajo del básico,38.64679371190752,2024,Secundario,5to año / 6to año
Catamarca,Rural,Estatal,Por debajo del básico,74.60566775697298,2024,Secundario,5to año / 6to año
Catamarca,Urbano,Estatal,Por debajo del básico,70.83533182136905,2024,Secundario,5to año / 6to año
Catamarca,Urbano,Privado,Por debajo del básico,51.658044018428185,2024,Secundario,5to año / 6to año
Chaco,Rural,Estatal,Por debajo del básico,83.53443782999392,2024,Secundario,5to año / 6to año
Chaco,Rural,Privado,Por debajo del básico,75.09368786916987,2024,Secundario,5to año / 6to año
Chaco,Urbano,Estatal,Por debajo del básico,73.41568933314741,2024,Secundario,5to año / 6to año
Chaco,Urbano,Privado,Por debajo del básico,55.58259044838015,2024,Secundario,5to año / 6to año
Chubut,Rural,Estatal,Por debajo del básico,54.52700008655067,2024,Secundario,5to año / 6to año
Chubut,Rural,Privado,Por debajo del básico,37.50000000000001,2024,Secundario,5to año / 6to año
Chubut,Urbano,Estatal,Por debajo del básico,58.157941040661065,2024,Secundario,5to año / 6to año
Chubut,Urbano,Privado,Por debajo del básico,31.545390526530614,2024,Secundario,5to año / 6to año
Ciudad Autónoma de Buenos Aires,Urbano,Estatal,Por debajo del básico,43.201674499843186,2024,Secundario,5to año / 6to año
Ciudad Autónoma de Buenos Aires,Urbano,Privado,Por debajo del básico,27.33645109503754,2024,Secundario,5to año / 6to año
Corrientes,Rural,Estatal,Por debajo del básico,77.41072951748642,2024,Secundario,5to año / 6to año
Corrientes,Rural,Privado,Por debajo del básico,66.91685997435764,2024,Secundario,5to año / 6to año
Corrientes,Urbano,Estatal,Por debajo del básico,66.93869603822215,2024,Secundario,5to año / 6to año
Corrientes,Urbano,Privado,Por debajo del básico,49.469418946246414,2024,Secundario,5to año / 6to año
Córdoba,Rural,Estatal,Por debajo del básico,56.05010818251248,2024,Secundario,5to año / 6to año
Córdoba,Rural,Privado,Por debajo del básico,39.455172221514864,2024,Secundario,5to año / 6to año
Córdoba,Urbano,Estatal,Por debajo del básico,55.52166219904474,2024,Secundario,5to año / 6to año
Córdoba,Urbano,Privado,Por debajo del básico,30.60125858561178,2024,Secundario,5to año / 6to año
Entre Ríos,Rural,Estatal,Por debajo del básico,58.42878313340903,2024,Secundario,5to año / 6to año
Entre Ríos,Rural,Privado,Por debajo del básico,38.27439112793547,2024,Secundario,5to año / 6to año
Entre Ríos,Urbano,Estatal,Por debajo del básico,54.80334868413029,2024,Secundario,5to año / 6to año
Entre Ríos,Urbano,Privado,Por debajo del básico,38.27023604306146,2024,Secundario,5to año / 6to año
Formosa,Rural,Estatal,Por debajo del básico,60.13003963301191,2024,Secundario,5to año / 6to año
Formosa,Rural,Privado,Por debajo del básico,49.8039216516877,2024,Secundario,5to año / 6to año
Formosa,Urbano,Estatal,Por debajo del básico,69.41207909665415,2024,Secundario,5to año / 6to año
Formosa,Urbano,Privado,Por debajo del básico,49.389820020256906,2024,Secundario,5to año / 6to año
Jujuy,Rural,Estatal,Por debajo del básico,66.32879198199836,2024,Secundario,5to año / 6to año
Jujuy,Urbano,Estatal,Por debajo del básico,56.47185221554323,2024,Secundario,5to año / 6to año
Jujuy,Urbano,Privado,Por debajo del básico,45.21672495712165,2024,Secundario,5to año / 6to año
La Pampa,Rural,Estatal,Por debajo del básico,55.51002442920395,2024,Secundario,5to año / 6to año
La Pampa,Urbano,Estatal,Por debajo del básico,56.682221162642264,2024,Secundario,5to año / 6to año
La Pampa,Urbano,Privado,Por debajo del básico,33.424583271387235,2024,Secundario,5to año / 6to año
La Rioja,Rural,Estatal,Por debajo del básico,70.44119016026559,2024,Secundario,5to año / 6to año
La Rioja,Rural,Privado,Por debajo del básico,61.90476201360543,2024,Secundario,5to año / 6to año
La Rioja,Urbano,Estatal,Por debajo del básico,69.05516047326729,2024,Secundario,5to año / 6to año
La Rioja,Urbano,Privado,Por debajo del básico,45.19568519258747,2024,Secundario,5to año / 6to año
Mendoza,Rural,Estatal,Por debajo del básico,67.27706120086985,2024,Secundario,5to año / 6to año
Mendoza,Rural,Privado,Por debajo del básico,41.38573649644369,2024,Secundario,5to año / 6to año
Mendoza,Urbano,Estatal,Por debajo del básico,58.15907435037019,2024,Secundario,5to año / 6to año
Mendoza,Urbano,Privado,Por debajo del básico,41.62287235762901,2024,Secundario,5to año / 6to año
Misiones,Rural,Estatal,Por debajo del básico,74.84024495656288,2024,Secundario,5to año / 6to año
Misiones,Rural,Privado,Por debajo del básico,61.87641783649003,2024,Secundario,5to año / 6to año
Misiones,Urbano,Estatal,Por debajo del básico,68.34515809419143,2024,Secundario,5to año / 6to año
Misiones,Urbano,Privado,Por debajo del básico,53.15622420143511,2024,Secundario,5to año / 6to año
Neuquén,Rural,Estatal,Por debajo del básico,73.82454868447682,2024,Secundario,5to año / 6to año
Neuquén,Rural,Privado,Por debajo del básico,71.42857142857143,2024,Secundario,5to año / 6to año
Neuquén,Urbano,Estatal,Por debajo del básico,52.951766782402466,2024,Secundario,5to año / 6to año
Neuquén,Urbano,Privado,Por debajo del básico,37.751654289973594,2024,Secundario,5to año / 6to año
Río Negro,Rural,Estatal,Por debajo del básico,66.45845388957994,2024,Secundario,5to año / 6to año
Río Negro,Urbano,Estatal,Por debajo del básico,56.51417423070536,2024,Secundario,5to año / 6to año
Río Negro,Urbano,Privado,Por debajo del básico,31.090332840288077,2024,Secundario,5to año / 6to año
Salta,Rural,Estatal,Por debajo del básico,71.1183832389415,2024,Secundario,5to año / 6to año
Salta,Rural,Privado,Por debajo del básico,63.66459628394091,2024,Secundario,5to año / 6to año
Salta,Urbano,Estatal,Por debajo del básico,58.16586551214844,2024,Secundario,5to año / 6to año
Salta,Urbano,Privado,Por debajo del básico,33.80261642606614,2024,Secundario,5to año / 6to año
San Juan,Rural,Estatal,Por debajo del básico,78.07656112914158,2024,Secundario,5to año / 6to año
San Juan,Rural,Privado,Por debajo del básico,75.03896099977736,2024,Secundario,5to año / 6to año
San Juan,Urbano,Estatal,Por debajo del básico,63.42667077031684,2024,Secundario,5to año / 6to año
San Juan,Urbano,Privado,Por debajo del básico,49.49499673923495,2024,Secundario,5to año / 6to año
San Luis,Rural,Estatal,Por debajo del básico,63.71039783126835,2024,Secundario,5to año / 6to año
San Luis,Urbano,Estatal,Por debajo del básico,61.02375497631597,2024,Secundario,5to año / 6to año
San Luis,Urbano,Privado,Por debajo del básico,41.5255555000663,2024,Secundario,5to año / 6to año
Santa Cruz,Rural,Estatal,Por debajo del básico,55.6038209528288,2024,Secundario,5to año / 6to año
Santa Cruz,Urbano,Estatal,Por debajo del básico,63.20040018380186,2024,Secundario,5to año / 6to año
Santa Cruz,Urbano,Privado,Por debajo del básico,36.73793559251376,2024,Secundario,5to año / 6to año
Santa Fe,Rural,Estatal,Por debajo del básico,60.61883941701174,2024,Secundario,5to año / 6to año
Santa Fe,Rural,Privado,Por debajo del básico,46.90975965164584,2024,Secundario,5to año / 6to año
Santa Fe,Urbano,Estatal,Por debajo del básico,57.374512524753996,2024,Secundario,5to año / 6to año
Santa Fe,Urbano,Privado,Por debajo del básico,40.48845466052682,2024,Secundario,5to año / 6to año
Santiago del Estero,Rural,Estatal,Por debajo del básico,68.63149764480096,2024,Secundario,5to año / 6to año
Santiago del Estero,Rural,Privado,Por debajo del básico,78.14578467637773,2024,Secundario,5to año / 6to año
Santiago del Estero,Urbano,Estatal,Por debajo del básico,72.70424757949372,2024,Secundario,5to año / 6to año
Santiago del Estero,Urbano,Privado,Por debajo del básico,58.93521442866031,2024,Secundario,5to año / 6to año
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Rural,Estatal,Por debajo del básico,0.0,2024,Secundario,5to año / 6to año
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Urbano,Estatal,Por debajo del básico,59.39096873774232,2024,Secundario,5to año / 6to año
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Urbano,Privado,Por debajo del básico,33.5581860157826,2024,Secundario,5to año / 6to año
Tucumán,Rural,Estatal,Por debajo del básico,76.98637138767506,2024,Secundario,5to año / 6to año
Tucumán,Rural,Privado,Por debajo del básico,59.27400073277275,2024,Secundario,5to año / 6to año
Tucumán,Urbano,Estatal,Por debajo del básico,70.79755396824632,2024,Secundario,5to año / 6to año
Tucumán,Urbano,Privado,Por debajo del básico,47.53611204151435,2024,Secundario,5to año / 6to año
Buenos Aires,Rural,Estatal,Básico,25.976281434569465,2024,Secundario,5to año / 6to año
Buenos Aires,Rural,Privado,Básico,31.399400352287483,2024,Secundario,5to año / 6to año
Buenos Aires,Urbano,Estatal,Básico,25.3803158122203,2024,Secundario,5to año / 6to año
Buenos Aires,Urbano,Privado,Básico,32.40334555961856,2024,Secundario,5to año / 6to año
Catamarca,Rural,Estatal,Básico,21.20606654096799,2024,Secundario,5to año / 6to año
Catamarca,Urbano,Estatal,Básico,21.089801336769426,2024,Secundario,5to año / 6to año
Catamarca,Urbano,Privado,Básico,34.609581359451894,2024,Secundario,5to año / 6to año
Chaco,Rural,Estatal,Básico,13.131823524205593,2024,Secundario,5to año / 6to año
Chaco,Rural,Privado,Básico,18.47534084988993,2024,Secundario,5to año / 6to año
Chaco,Urbano,Estatal,Básico,19.560796049058332,2024,Secundario,5to año / 6to año
Chaco,Urbano,Privado,Básico,30.518378067124587,2024,Secundario,5to año / 6to año
Chubut,Rural,Estatal,Básico,30.808753369246354,2024,Secundario,5to año / 6to año
Chubut,Rural,Privado,Básico,43.75000000000001,2024,Secundario,5to año / 6to año
Chubut,Urbano,Estatal,Básico,27.828698288501496,2024,Secundario,5to año / 6to año
Chubut,Urbano,Privado,Básico,33.25542025981642,2024,Secundario,5to año / 6to año
Ciudad Autónoma de Buenos Aires,Urbano,Estatal,Básico,28.90821182665625,2024,Secundario,5to año / 6to año
Ciudad Autónoma de Buenos Aires,Urbano,Privado,Básico,31.92080104282038,2024,Secundario,5to año / 6to año
Corrientes,Rural,Estatal,Básico,18.30711472176016,2024,Secundario,5to año / 6to año
Corrientes,Rural,Privado,Básico,25.446630792405305,2024,Secundario,5to año / 6to año
Corrientes,Urbano,Estatal,Básico,23.97142424210302,2024,Secundario,5to año / 6to año
Corrientes,Urbano,Privado,Básico,30.18959561498776,2024,Secundario,5to año / 6to año
Córdoba,Rural,Estatal,Básico,30.317743521946884,2024,Secundario,5to año / 6to año
Córdoba,Rural,Privado,Básico,32.84884591202587,2024,Secundario,5to año / 6to año
Córdoba,Urbano,Estatal,Básico,29.52410609416571,2024,Secundario,5to año / 6to año
Córdoba,Urbano,Privado,Básico,34.20895082785132,2024,Secundario,5to año / 6to año
Entre Ríos,Rural,Estatal,Básico,28.3002673741849,2024,Secundario,5to año / 6to año
Entre Ríos,Rural,Privado,Básico,36.48317541961517,2024,Secundario,5to año / 6to año
Entre Ríos,Urbano,Estatal,Básico,30.690385722116126,2024,Secundario,5to año / 6to año
Entre Ríos,Urbano,Privado,Básico,35.21916219318603,2024,Secundario,5to año / 6to año
Formosa,Rural,Estatal,Básico,24.490654045228723,2024,Secundario,5to año / 6to año
Formosa,Rural,Privado,Básico,42.801120350880126,2024,Secundario,5to año / 6to año
Formosa,Urbano,Estatal,Básico,21.580334557516395,2024,Secundario,5to año / 6to año
Formosa,Urbano,Privado,Básico,30.837107711965324,2024,Secundario,5to año / 6to año
Jujuy,Rural,Estatal,Básico,26.461214369088847,2024,Secundario,5to año / 6to año
Jujuy,Urbano,Estatal,Básico,28.48209712632674,2024,Secundario,5to año / 6to año
Jujuy,Urbano,Privado,Básico,32.20777170826728,2024,Secundario,5to año / 6to año
La Pampa,Rural,Estatal,Básico,27.40638239730379,2024,Secundario,5to año / 6to año
La Pampa,Urbano,Estatal,Básico,28.921083518963993,2024,Secundario,5to año / 6to año
La Pampa,Urbano,Privado,Básico,29.902948631936926,2024,Secundario,5to año / 6to año
La Rioja,Rural,Estatal,Básico,21.16362343274015,2024,Secundario,5to año / 6to año
La Rioja,Rural,Privado,Básico,23.095237757823135,2024,Secundario,5to año / 6to año
La Rioja,Urbano,Estatal,Básico,24.562401203269133,2024,Secundario,5to año / 6to año
La Rioja,Urbano,Privado,Básico,32.79527733416622,2024,Secundario,5to año / 6to año
Mendoza,Rural,Estatal,Básico,25.503189409821577,2024,Secundario,5to año / 6to año
Mendoza,Rural,Privado,Básico,34.496014667796956,2024,Secundario,5to año / 6to año
Mendoza,Urbano,Estatal,Básico,26.497730487849825,2024,Secundario,5to año / 6to año
Mendoza,Urbano,Privado,Básico,32.079550116388745,2024,Secundario,5to año / 6to año
Misiones,Rural,Estatal,Básico,20.80635896005407,2024,Secundario,5to año / 6to año
Misiones,Rural,Privado,Básico,27.66441602544476,2024,Secundario,5to año / 6to año
Misiones,Urbano,Estatal,Básico,22.74382229265535,2024,Secundario,5to año / 6to año
Misiones,Urbano,Privado,Básico,30.27603924463813,2024,Secundario,5to año / 6to año
Neuquén,Rural,Estatal,Básico,19.557328159919457,2024,Secundario,5to año / 6to año
Neuquén,Rural,Privado,Básico,28.571428571428577,2024,Secundario,5to año / 6to año
Neuquén,Urbano,Estatal,Básico,31.02474577829229,2024,Secundario,5to año / 6to año
Neuquén,Urbano,Privado,Básico,33.05906603931746,2024,Secundario,5to año / 6to año
Río Negro,Rural,Estatal,Básico,24.703991546868114,2024,Secundario,5to año / 6to año
Río Negro,Urbano,Estatal,Básico,29.302302073160106,2024,Secundario,5to año / 6to año
Río Negro,Urbano,Privado,Básico,30.346471335427232,2024,Secundario,5to año / 6to año
Salta,Rural,Estatal,Básico,22.30763602466807,2024,Secundario,5to año / 6to año
Salta,Rural,Privado,Básico,31.987577703645464,2024,Secundario,5to año / 6to año
Salta,Urbano,Estatal,Básico,28.824269696919895,2024,Secundario,5to año / 6to año
Salta,Urbano,Privado,Básico,35.03922770635826,2024,Secundario,5to año / 6to año
San Juan,Rural,Estatal,Básico,18.914986394270166,2024,Secundario,5to año / 6to año
San Juan,Rural,Privado,Básico,12.493506500037105,2024,Secundario,5to año / 6to año
San Juan,Urbano,Estatal,Básico,24.89400700349855,2024,Secundario,5to año / 6to año
San Juan,Urbano,Privado,Básico,35.96067992651115,2024,Secundario,5to año / 6to año
San Luis,Rural,Estatal,Básico,24.8459622130097,2024,Secundario,5to año / 6to año
San Luis,Urbano,Estatal,Básico,27.747170546818534,2024,Secundario,5to año / 6to año
San Luis,Urbano,Privado,Básico,32.81146253461951,2024,Secundario,5to año / 6to año
Santa Cruz,Rural,Estatal,Básico,28.98743091213439,2024,Secundario,5to año / 6to año
Santa Cruz,Urbano,Estatal,Básico,26.37132665156011,2024,Secundario,5to año / 6to año
Santa Cruz,Urbano,Privado,Básico,39.71122087833266,2024,Secundario,5to año / 6to año
Santa Fe,Rural,Estatal,Básico,28.461545305089242,2024,Secundario,5to año / 6to año
Santa Fe,Rural,Privado,Básico,30.381843983483375,2024,Secundario,5to año / 6to año
Santa Fe,Urbano,Estatal,Básico,27.724738490633865,2024,Secundario,5to año / 6to año
Santa Fe,Urbano,Privado,Básico,31.96029114083468,2024,Secundario,5to año / 6to año
Santiago del Estero,Rural,Estatal,Básico,20.33998477389962,2024,Secundario,5to año / 6to año
Santiago del Estero,Rural,Privado,Básico,18.78826158334612,2024,Secundario,5to año / 6to año
Santiago del Estero,Urbano,Estatal,Básico,21.680208798607232,2024,Secundario,5to año / 6to año
Santiago del Estero,Urbano,Privado,Básico,28.676416055625165,2024,Secundario,5to año / 6to año
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Rural,Estatal,Básico,100.0,2024,Secundario,5to año / 6to año
